Date,Department,Region,Revenue,Expenses,Patients,Outstanding_AR,Outstanding_AP,Budget,Cash_on_Hand,Profit
2022-01-01 00:00:00.000000000,Radiology,North,13093,4612,75,5976,5043,12302,19040,8481
2022-01-01 00:52:29.437471873,Oncology,South,2257,8747,44,5227,3260,13592,18620,-6490
2022-01-01 01:44:58.874943747,Orthopedics,South,13651,7350,12,4899,2043,3267,9362,6301
2022-01-01 02:37:28.312415620,Radiology,West,2044,8439,42,2441,1134,6664,18268,-6395
2022-01-01 03:29:57.749887494,Pediatrics,East,10460,2332,56,3446,3453,12574,5311,8128
2022-01-01 04:22:27.187359367,General Surgery,South,3334,7361,6,5681,6945,3234,16088,-4027
2022-01-01 05:14:56.624831241,Orthopedics,West,2671,1755,26,7582,1798,11268,6649,916
2022-01-01 06:07:26.062303115,Orthopedics,North,9000,4525,8,6642,265,6515,16615,4475
2022-01-01 06:59:55.499774988,Radiology,North,5638,2796,56,6867,472,6476,17489,2842
2022-01-01 07:52:24.937246862,Neurology,North,8085,4059,11,68,4737,4800,12941,4026
2022-01-01 08:44:54.374718735,Pediatrics,North,2234,3177,5,2523,7920,7726,24046,-943
2022-01-01 09:37:23.812190609,Radiology,West,8834,3050,87,4193,1949,11987,9620,5784
2022-01-01 10:29:53.249662483,Pediatrics,East,5207,2989,62,1638,1104,5454,23936,2218
2022-01-01 11:22:22.687134356,Pediatrics,West,7564,8518,66,3941,5276,8556,12246,-954
2022-01-01 12:14:52.124606230,General Surgery,East,4400,9746,98,15,6353,11768,20734,-5346
2022-01-01 13:07:21.562078103,Orthopedics,North,11609,6809,70,5198,7405,6894,15176,4800
2022-01-01 13:59:50.999549977,Oncology,South,7089,6613,59,7912,315,5470,22608,476
2022-01-01 14:52:20.437021851,General Surgery,South,14562,9457,17,1766,2064,13431,20805,5105
2022-01-01 15:44:49.874493724,General Surgery,South,9551,9725,32,3369,183,10890,8379,-174
2022-01-01 16:37:19.311965598,Pediatrics,East,7005,6976,18,6553,6638,13642,10297,29
